ticker,passed,reason,close,sma10,sma50,sma200,macd,macd_signal,macd_hist,rsi14,volume,vol_avg20,volume_multiple,ref_high,require_52w_high
CRWV,False,insufficient_history,,,,,,,,,,,,,
DFDV,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;not_breaking_recent_high,15.69,17.8455,20.5674,9.0757,-0.68632,-1.002857,0.316537,45.02,5811800.0,3224215.0,1.8,42.5,True
ALAB,False,price_not_above_all_smas;macd_not_bullish_cross;volume_below_threshold;not_breaking_recent_high,174.15,182.289,125.4383,100.537,16.372288,18.753385,-2.381097,62.05,3500400.0,6481320.0,0.54,193.64,True
LIDR,False,macd_not_bullish_cross;volume_below_threshold;not_breaking_recent_high,3.28,2.755,1.9011,1.1562,0.2307,0.273623,-0.042923,62.52,16915600.0,12496005.0,1.35,4.435,True
VRT,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,125.02,131.656,129.5892,112.1881,-1.017658,1.23321,-2.250868,38.48,4609100.0,7396965.0,0.62,153.372,True
CCLD,False,macd_not_bullish_cross;not_breaking_recent_high,3.18,2.705,2.4647,2.6022,0.131844,0.084561,0.047283,75.77,1902600.0,424305.0,4.48,4.61,True
SHIM,False,macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,3.2,2.6045,2.0252,2.0555,0.292655,0.171169,0.121486,81.3,32700.0,62600.0,0.52,3.22,True
QS,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,8.05,8.561,8.542,5.6389,-0.288036,-0.094879,-0.193156,43.14,12477600.0,29410435.0,0.42,14.64,True
QUBT,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,15.21,15.4415,17.2694,11.0139,-0.450848,-0.425694,-0.025154,45.36,12539200.0,15264595.0,0.82,25.68,True
QBTS,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,15.02,16.466,16.6036,9.8163,-0.474103,-0.11344,-0.360663,40.41,21300300.0,39135240.0,0.54,20.3,True
QLGN,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,1.875,1.826,2.8012,3.5093,-0.280935,-0.338094,0.057158,33.62,10600.0,71795.0,0.15,10.5,True
KTOS,False,price_not_above_all_smas;macd_not_bullish_cross;volume_below_threshold;not_breaking_recent_high,66.9,67.093,54.5956,36.7576,3.475913,3.944364,-0.468451,64.7,2416800.0,3975475.0,0.61,69.14,True
AMZN,False,rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,227.94,227.008,222.7288,212.3499,1.278859,1.255289,0.023571,54.04,22608200.0,47073065.0,0.48,242.06,True
ARKK,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,75.66,75.936,73.036,60.09,0.744135,1.04314,-0.299005,53.72,9612700.0,13800835.0,0.7,77.91,True
CHWY,False,macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,39.74,39.733,39.1274,36.9723,0.542997,0.100515,0.442482,56.38,5868300.0,6396810.0,0.92,48.21,True
ORCL,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,235.41,241.497,235.2243,180.6538,0.355385,3.513063,-3.157678,44.85,6303800.0,10402585.0,0.61,256.43,True
CLS,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,192.91,193.547,170.9116,117.1879,4.997123,8.362889,-3.365766,55.48,1871700.0,3848595.0,0.49,213.45,True
NEGG,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,85.0,100.333,45.297,17.3489,17.536186,17.852569,-0.316383,53.78,1253000.0,1545845.0,0.81,128.09,True
HSAI,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,23.38,24.262,21.6882,16.5537,0.846683,0.819795,0.026889,52.89,2834600.0,3319860.0,0.85,26.62,True
NOTV,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,1.74,1.834,1.9724,2.8989,-0.076927,-0.061167,-0.01576,43.21,234800.0,428545.0,0.55,5.95,True
FFAI,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,2.41,2.5585,2.1347,1.5554,0.074354,0.124779,-0.050424,50.67,11066000.0,14769060.0,0.75,8.04,True
